name,latitude,longitude,city,region,cuisine,price,url,rating
ora,60.157578,24.942947,helsinki,finland,modern,3,https://guide.michelin.com/fi/en/uusimaa/helsingfors-helsinki/restaurant/ora,1
botrini_s,38.02318,23.79377,athina,greece,mediterranean,5,https://guide.michelin.com/gr/en/attica/athina/restaurant/botrini-s,1
varoulko_seaside,37.937378,23.658577,athina,greece,seafood,5,https://guide.michelin.com/gr/en/attica/athina/restaurant/varoulko-seaside,1
hytra,37.95818,23.71895,athina,greece,modern,5,https://guide.michelin.com/gr/en/attica/athina/restaurant/hytra,1
loaf_on,22.379858,114.27188,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/loaf-on,1
lei_garden_kwun_tong_,22.312672,114.22482,hong_kong,hong_kong,cantonese,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-kwun-tong,1
tim_ho_wan_sham_shui_po_,22.32805,114.16665,hong_kong,hong_kong,dim_sum,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tim-ho-wan-sham-shui-po,1
lei_garden_mong_kok_,22.320219,114.17133,hong_kong,hong_kong,cantonese,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/lei-garden-mong-kok,1
ming_court,22.318314,114.16933,hong_kong,hong_kong,cantonese,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ming-court,1
yat_tung_heen_jordan_,22.308014,114.17147,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yat-tung-heen-jordan,1
fu_ho_tsim_sha_tsui_,22.3022,114.17194,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/fu-ho-tsim-sha-tsui,1
shang_palace,22.297325,114.177155,hong_kong,hong_kong,cantonese,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/shang-palace,1
im_teppanyaki_wine,22.280807,114.19211,hong_kong,hong_kong,teppanyaki,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/im-teppanyaki-wine,1
ah_yat_harbour_view_tsim_sha_tsui_,22.296984,114.17197,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ah-yat-harbour-view-tsim-sha-tsui,1
rech,22.293434,114.174034,hong_kong,hong_kong,seafood,4,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/rech,1
spring_moon,22.294943,114.17182,hong_kong,hong_kong,cantonese,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/spring-moon,1
imperial_treasure_fine_chinese_cuisine,22.296177,114.170006,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/imperial-treasure-fine-chinese-cuisine,1
sushi_tokami,22.296112,114.16916,hong_kong,hong_kong,sushi,5,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/sushi-tokami,1
tosca,22.30357,114.16007,hong_kong,hong_kong,italian,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/tosca352519,1
epure,22.29583,114.169304,hong_kong,hong_kong,french,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/epure,1
yee_tung_heen,22.282295,114.184135,hong_kong,hong_kong,cantonese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/yee-tung-heen,1
ye_shanghai_tsim_sha_tsui_,22.295143,114.168236,hong_kong,hong_kong,shanghainese,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ye-shanghai-tsim-sha-tsui,1
ho_hung_kee,22.280058,114.18364,hong_kong,hong_kong,noodles,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/ho-hung-kee,1
jardin_de_jade_wan_chai_,22.28025,114.17716,hong_kong,hong_kong,shanghainese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/jardin-de-jade-wan-chai,1
zhejiang_heen,22.2787,114.17763,hong_kong,hong_kong,shanghainese,2,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/zhejiang-heen,1
takumi_by_daisuke_mori,22.276512,114.17718,hong_kong,hong_kong,innovative,5,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/takumi-by-daisuke-mori,1
kam_s_roast_goose,22.277693,114.175385,hong_kong,hong_kong,cantonese,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/kam-s-roast-goose,1
pang_s_kitchen,22.26921,114.18452,hong_kong,hong_kong,cantonese,1,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/pang-s-kitchen,1
xin_rong_ji,22.278013,114.17273,hong_kong,hong_kong,taizhou,3,https://guide.michelin.com/hk/en/hong-kong-region/hong-kong/restaurant/xin-rong-ji,1
